city,state,country,crime_index,safety_index,quality_of_life_index,purchasing_power_index,health_care_index,cost_of_living_index,traffic_commute_time_index,pollution_index,price_to_income_ratio,affordability_index,lat,long
Madison,WI,United States,27.59,72.41,204.36,136.4,79.58,63.48,23.88,20.78,3.3,4.29,43.0730517,-89.4012302
Columbus,OH,United States,42.36,57.64,195.88,127.33,75.28,65.79,25.21,24.37,2.31,5.97,39.9611755,-82.9987942
Charlotte,NC,United States,45.17,54.83,195.85,145.53,75.0,75.63,38.02,28.22,2.4,5.58,35.2270869,-80.8431267
San Diego,CA,United States,36.18,63.82,192.68,136.48,71.77,72.67,36.81,34.82,6.01,2.26,32.715738,-117.1610838
Austin,TX,United States,34.6,65.4,192.57,143.76,70.58,69.94,35.07,36.97,4.03,3.36,30.267153,-97.7430608
San Jose,CA,United States,41.96,58.04,192.57,172.52,68.83,76.36,34.42,50.85,6.1,2.22,37.3382082,-121.8863286
Dallas,TX,United States,49.52,50.48,188.66,158.15,66.33,66.95,36.14,39.8,2.36,5.72,32.7766642,-96.7969879
Seattle,WA,United States,44.68,55.32,188.21,139.2,72.51,84.16,42.99,27.96,6.16,2.17,47.6062095,-122.3320708
Portland,OR,United States,45.23,54.77,187.61,123.51,70.31,74.93,33.22,27.19,4.93,2.74,45.5051064,-122.6750261
San Antonio,TX,United States,46.11,53.89,186.37,135.39,69.24,61.87,29.19,39.4,2.24,6.0,29.4241219,-98.4936282
Kansas City,MO,United States,60.23,39.77,185.36,135.13,75.25,68.81,24.54,33.71,2.08,6.52,39.0997265,-94.5785667
Jacksonville,FL,United States,58.29,41.71,185.15,133.31,74.83,69.0,35.19,32.56,2.03,6.61,30.3321838,-81.655651
Sacramento,CA,United States,48.59,51.41,183.61,131.2,70.71,77.76,26.58,42.46,3.71,3.65,38.5815719,-121.4943996
Tampa,FL,United States,47.8,52.2,182.85,123.8,66.69,70.46,36.33,28.93,3.18,4.16,27.950575,-82.4571776
Oakland,CA,United States,64.11,35.89,182.68,134.28,80.4,84.24,32.36,33.78,6.14,2.2,37.8043514,-122.2711639
Minneapolis,MN,United States,48.72,51.28,181.51,125.9,80.03,75.33,33.38,23.49,3.11,4.35,44.977753,-93.2650108
Boston,MA,United States,33.21,66.79,181.01,121.89,75.6,82.68,43.36,25.29,8.48,1.59,42.3600825,-71.0588801
Saint Louis,MO,United States,67.16,32.84,180.96,137.4,79.39,66.77,27.5,36.42,2.38,5.69,38.6270025,-90.1994042
Salt Lake City,UT,United States,25.2,74.8,179.53,144.68,70.19,63.38,34.72,58.0,3.63,3.73,40.7607793,-111.8910474
Cincinnati,OH,United States,51.07,48.93,178.51,126.99,68.5,63.48,26.61,39.77,2.4,5.7,39.1031182,-84.5120196
Albuquerque,NM,United States,68.63,31.37,178.03,122.06,72.22,64.2,26.44,22.54,3.05,4.33,35.0843859,-106.650422
San Francisco,CA,United States,48.97,51.03,175.88,134.05,71.19,91.67,44.56,35.15,9.26,1.45,37.7749295,-122.4194155
Tucson,AZ,United States,51.53,48.47,175.03,115.99,59.18,67.99,32.16,27.0,2.62,4.84,32.2226066,-110.9747108
Orlando,FL,United States,55.51,44.49,172.42,115.68,65.3,69.38,37.08,34.29,2.96,4.55,28.5383355,-81.3792365
Pittsburgh,PA,United States,36.01,63.99,171.14,109.13,74.87,74.79,39.5,43.59,2.21,6.0,40.4406248,-79.9958864
Houston,TX,United States,60.91,39.09,171.0,146.52,72.27,63.62,42.21,52.36,2.2,6.16,29.7604267,-95.3698028
Atlanta,GA,United States,63.63,36.37,169.9,145.47,64.21,72.26,44.22,44.7,2.93,4.6,33.7489954,-84.3879824
Denver,CO,United States,42.15,57.85,169.82,126.76,70.96,70.72,35.21,41.23,4.79,2.8,39.7392358,-104.990251
Baltimore,MD,United States,71.25,28.75,167.98,125.36,80.29,75.24,32.74,43.88,2.59,5.26,39.2903848,-76.6121893
Indianapolis,IN,United States,55.17,44.83,166.91,116.83,68.96,67.05,30.83,43.11,2.26,5.94,39.768403,-86.158068
Washington,DC,United States,57.28,42.72,166.58,126.08,71.58,91.99,41.63,39.26,4.85,2.79,47.7510741,-120.7401385
Honolulu,HI,United States,43.78,56.22,164.22,101.03,69.92,95.67,42.52,36.85,8.66,1.55,21.3069444,-157.8583333
Chicago,IL,United States,64.64,35.36,161.24,133.36,68.37,77.75,40.99,41.03,3.54,3.79,41.8781136,-87.6297982
Phoenix,AZ,United States,53.49,46.51,159.55,143.14,66.79,65.88,30.51,61.42,2.8,4.74,33.4483771,-112.0740373
Milwaukee,WI,United States,65.29,34.71,158.89,102.27,66.46,70.22,30.2,31.8,2.95,4.57,43.0389025,-87.9064736
Las Vegas,NV,United States,55.7,44.3,158.08,133.59,54.41,67.81,28.19,52.12,2.78,4.77,36.1699412,-115.1398296
Philadelphia,PA,United States,58.09,41.91,156.51,118.48,72.54,80.19,41.92,51.82,3.31,4.07,39.9525839,-75.1652215
Miami,FL,United States,52.91,47.09,151.75,86.92,64.04,80.45,43.02,37.91,5.91,2.2,25.7616798,-80.1917902
Los Angeles,CA,United States,47.13,52.87,150.65,113.47,65.87,78.2,47.16,60.35,7.72,1.73,34.0522342,-118.2436849
New York,NY,United States,44.22,55.78,138.86,100.0,63.49,100.0,42.53,57.08,11.66,1.16,40.7127753,-74.0059728
Detroit,MI,United States,71.84,28.16,133.44,100.19,63.75,60.04,47.43,55.17,1.72,7.87,42.331427,-83.0457538
